zpid,address,cityname,state,zipcode,latitude,longitude,title,listingStatus,minPrice,maxPrice,bedrooms
2061796427,3101 Smith St,Houston,TX,77006,29.743761,-95.379814,The Hopkins,forRent,2200,2530,2
2055839963,101 Cay Plz,Savannah,GA,31421,32.0847,-81.082405,EmmaJames,forRent,1990,3575,1
2055839963,101 Cay Plz,Savannah,GA,31421,32.0847,-81.082405,EmmaJames,forRent,2955,3575,2
2055839963,101 Cay Plz,Savannah,GA,31421,32.0847,-81.082405,EmmaJames,forRent,3480,3575,3
347390705,2925 Buford Dr,Buford,GA,30519,34.053574,-83.9916,Bexley Exchange,forRent,1414,2514,1
347390705,2925 Buford Dr,Buford,GA,30519,34.053574,-83.9916,Bexley Exchange,forRent,1844,2514,2
347390705,2925 Buford Dr,Buford,GA,30519,34.053574,-83.9916,Bexley Exchange,forRent,2489,2514,3
458546152,2300 Reserve Way,Mansfield,TX,76063,32.571014,-97.10105,Brentwood at the Reserve,forRent,2305,3450,1
458546152,2300 Reserve Way,Mansfield,TX,76063,32.571014,-97.10105,Brentwood at the Reserve,forRent,2695,3450,2
458546152,2300 Reserve Way,Mansfield,TX,76063,32.571014,-97.10105,Brentwood at the Reserve,forRent,3450,3450,3
455802091,6325 Health Park Way,Bradenton,FL,34202,27.39138,-82.43792,Brea Lakewood Ranch,forRent,2050,4667,1
455802091,6325 Health Park Way,Bradenton,FL,34202,27.39138,-82.43792,Brea Lakewood Ranch,forRent,3005,4667,2
455802091,6325 Health Park Way,Bradenton,FL,34202,27.39138,-82.43792,Brea Lakewood Ranch,forRent,3262,4667,3
458275468,11115 S Beach Cir,Orlando,FL,32821,28.383394,-81.47961,Paros Vineland,forRent,1814,3029,1
458275468,11115 S Beach Cir,Orlando,FL,32821,28.383394,-81.47961,Paros Vineland,forRent,2354,3029,2
458275468,11115 S Beach Cir,Orlando,FL,32821,28.383394,-81.47961,Paros Vineland,forRent,2924,3029,3
448259968,599 Cooksey Ln,Bowling Green,KY,42103,36.9685,-86.41005,The Preserve at The Hub - Hub West,forRent,1355,1765,1
448259968,599 Cooksey Ln,Bowling Green,KY,42103,36.9685,-86.41005,The Preserve at The Hub - Hub West,forRent,1630,1765,2
2077722234,10 Capewood Rd,Simpsonville,SC,29680,34.731907,-82.26951,MAA Spring Creek,forRent,1178,1319,1
2077722234,10 Capewood Rd,Simpsonville,SC,29680,34.731907,-82.26951,MAA Spring Creek,forRent,1234,1319,2
